Station_ID,maintFlag,WRK_DAY2,useHrs
Station-4,0,11/6/2019,24
Station-5,0,11/6/2019,24
Station-2,0,11/6/2019,24
Station-1,0,11/6/2019,24
Station-6,1,11/6/2019,24
Station-2,1,11/5/2019,19
Station-6,1,11/5/2019,24
Station-2,0,11/5/2019,5
Station-1,0,11/5/2019,24
Station-3,0,11/5/2019,24
Station-4,0,11/5/2019,24
Station-5,0,11/5/2019,24
Station-6,1,11/4/2019,24
Station-4,0,11/4/2019,19
Station-3,0,11/4/2019,24
Station-2,1,11/4/2019,24
Station-4,1,11/4/2019,5
Station-5,0,11/4/2019,19
Station-1,0,11/4/2019,24
Station-5,1,11/4/2019,5
Station-2,1,11/3/2019,24
Station-6,1,11/3/2019,24
Station-5,1,11/3/2019,24
Station-1,1,11/3/2019,24
Station-3,1,11/3/2019,24
Station-4,1,11/3/2019,24
Station-6,1,11/2/2019,24
Station-1,1,11/2/2019,14
Station-2,0,11/2/2019,10
Station-2,1,11/2/2019,14
Station-5,1,11/2/2019,24
Station-3,1,11/2/2019,14
Station-1,0,11/2/2019,10
Station-4,1,11/2/2019,24
Station-3,0,11/2/2019,10
Station-4,0,11/1/2019,10
Station-6,1,11/1/2019,24
Station-5,1,11/1/2019,14
Station-2,0,11/1/2019,19
Station-3,1,11/1/2019,5
Station-5,0,11/1/2019,10
Station-1,1,11/1/2019,5
Station-2,1,11/1/2019,5
Station-3,0,11/1/2019,19
Station-4,1,11/1/2019,14
Station-1,0,11/1/2019,19
Station-5,1,10/31/2019,14
Station-5,0,10/31/2019,10
Station-4,0,10/31/2019,10
Station-6,1,10/31/2019,24
Station-2,0,10/31/2019,24
Station-3,0,10/31/2019,24
Station-1,0,10/31/2019,24
Station-4,1,10/31/2019,14
Station-4,0,10/30/2019,19
Station-6,1,10/30/2019,24
Station-3,0,10/30/2019,24
Station-5,0,10/30/2019,19
Station-4,1,10/30/2019,5
Station-2,0,10/30/2019,24
Station-5,1,10/30/2019,5
Station-1,0,10/30/2019,24
Station-3,0,10/29/2019,24
Station-5,0,10/29/2019,24
Station-6,1,10/29/2019,24
Station-4,0,10/29/2019,24
Station-2,0,10/29/2019,24
Station-1,0,10/29/2019,24
Station-5,0,10/28/2019,19
Station-4,1,10/28/2019,15
Station-5,1,10/28/2019,5
Station-3,0,10/28/2019,24
Station-6,1,10/28/2019,24
Station-4,0,10/28/2019,9
Station-1,0,10/28/2019,24
Station-2,0,10/28/2019,24
Station-5,1,10/27/2019,24
Station-3,1,10/27/2019,24
Station-4,1,10/27/2019,24
Station-6,1,10/27/2019,24
Station-1,1,10/27/2019,24
Station-2,1,10/27/2019,24
Station-2,0,10/26/2019,10
Station-1,1,10/26/2019,24
Station-3,0,10/26/2019,10
Station-4,1,10/26/2019,24
Station-5,1,10/26/2019,24
Station-3,1,10/26/2019,14
Station-6,1,10/26/2019,24
Station-2,1,10/26/2019,14
